# x_m,y_m,v_mps,kappa
# optimization: {"dynamic_validation": false, "effective_margin_m": [0.03728659204552065, 0.214485821643566], "elapsed_s": 267.22774540202226, "export_audit": {"max_axle_friction_ratio": 1.0000000000000082, "maximum_steering_rad": 0.33882085323190164, "minimum_body_clearance_above_reserve_m": 0.002766721944067685, "normalized_physical_violation": 8.215650382226158e-15, "samples": 2160}, "export_relative_time_change": 0.003308593632277015, "exported_time_s": 6.978163140427508, "geometry_discretization_reserve_m": 0.003, "global_optimum_proven": false, "kkt_stationarity": 8.40271868013387e-06, "mesh_checks": [{"dense_normalized_violation": 0.019417143391516484, "dense_time_relative_change": 4.592927090963659e-05, "iterations": 186, "samples": 368, "time_s": 6.95114891988296}, {"dense_normalized_violation": 0.015684555735077585, "dense_time_relative_change": 2.215020624866369e-05, "iterations": 44, "samples": 407, "time_s": 6.954733368411144}, {"dense_normalized_violation": 0.0027926370502104753, "dense_time_relative_change": 1.455140069094873e-05, "iterations": 44, "samples": 434, "time_s": 6.95520190369207}, {"dense_normalized_violation": 8.748488061336106e-05, "dense_time_relative_change": 1.42978268326e-05, "iterations": 47, "samples": 454, "time_s": 6.95524937214508}, {"dense_normalized_violation": 9.19741443628661e-07, "dense_time_relative_change": 1.4285520417603759e-05, "iterations": 44, "samples": 456, "time_s": 6.955250730266575}], "model": "periodic-quasisteady-axle-nlp-v1", "normalized_constraint_violation": 9.393790798110243e-10, "objective": "integral(norm(dxy/dphase)/speed, phase=0..1)", "path_control_mesh_convergence_tested": false, "path_controls": 92, "requested_margin_m": 0.4, "solved_time_s": 6.955151370890258, "solver_message": "Optimization terminated successfully", "status": "converged"}
4.481954690055220070e+00,4.626066883829280663e+00,5.540043915628233506e+00,-1.853950167487713740e-01
4.482655957492180931e+00,4.591159205543552169e+00,5.506287643491006634e+00,-1.854241274715589527e-01
4.483131216514304462e+00,4.556247861851254299e+00,5.472312932085900528e+00,-1.647300140724678175e-01
4.483405676483808833e+00,4.521334394654524580e+00,5.438114843320317249e+00,-1.344053448047330401e-01
4.483516295531323692e+00,4.486419863305903810e+00,5.403689867372766464e+00,-1.039668105276431859e-01
4.483500175287238321e+00,4.451505140102129054e+00,5.369034200946018132e+00,-7.347401624366244055e-02
4.483394487678486584e+00,4.416590602920750008e+00,5.334143416642006308e+00,-4.293002186860610248e-02
4.483236467384338120e+00,4.381676298791706614e+00,5.299012605054099545e+00,-1.233384213671073586e-02
4.483063412126082170e+00,4.346762111371294424e+00,5.263636526340301991e+00,1.831790079340314681e-02
4.482912686683037329e+00,4.311847814595105355e+00,5.228009651337178099e+00,4.902932705546723946e-02
4.482821728885320489e+00,4.276933163283070272e+00,5.192126242289639926e+00,7.980351364894724964e-02
4.482828054694705244e+00,4.242018450257648787e+00,5.155980921609630840e+00,1.106408241976360313e-01
4.482969255104895190e+00,4.207104086032809498e+00,5.119568242717869921e+00,1.412071351506566930e-01
4.483282587625694759e+00,4.172190874387428750e+00,5.083153017519313366e+00,1.617998121787233012e-01
4.483793144358088512e+00,4.137280045440873799e+00,5.046802672958797586e+00,1.708637405511780893e-01
4.484511958404736376e+00,4.102372792561692627e+00,5.010171902772447616e+00,1.793752117181583172e-01
4.485449379504845346e+00,4.067470583803276973e+00,4.973250913874432300e+00,1.879877934783179549e-01
4.486615859702237863e+00,4.032575335613001855e+00,4.936030023187262472e+00,1.967065487994356099e-01
4.488021966188046719e+00,3.997689010446085156e+00,4.898499218452633919e+00,2.055359101656651366e-01
4.489678380742895492e+00,3.962813788814724347e+00,4.860648322491002205e+00,2.144796403094490767e-01
4.491595900758431625e+00,3.927952082763500385e+00,4.822466991745121057e+00,2.235407832989681209e-01
4.493785463287180093e+00,3.893106185526004293e+00,4.783944310753844853e+00,2.327215593440487840e-01
4.496258103924715144e+00,3.858279011111538370e+00,4.745069585479962271e+00,2.420232523751208176e-01
4.499024941546606371e+00,3.823474079381019131e+00,4.705832328924032915e+00,2.514461215476676004e-01
4.502097216320011697e+00,3.788694906968547382e+00,4.667018220376855986e+00,2.609841994472216209e-01
4.505486256529698252e+00,3.753945340907476336e+00,4.632065683937740985e+00,2.705695687864791421e-01
4.509203405011354526e+00,3.719229416548860634e+00,4.596811398214589062e+00,2.801282365610275327e-01
4.513259906077571770e+00,3.684551545545306617e+00,4.561252116941668433e+00,2.896375516457260213e-01
4.517666919459831121e+00,3.649916134034198123e+00,4.525384451961736332e+00,2.990779353345843772e-01
